,author,title,source,date,target
20,By Samantha Putterman ,“Evidence suggests that 1 in 25 women who consume (abortion) pills are hospitalized.”,James Uthmeier," November 14, 2025",barely-true
21,By Louis Jacobson ,“My tariffs … are helping to slash the deficit this year by more than 25%.”,Donald Trump," November 14, 2025",false
22,By Louis Jacobson ,Walmart’s 2025 package of Thanksgiving dinner ingredients shows a “25% reduction in costs for Thanksgiving between (President Joe) Biden and me.”,Donald Trump," November 14, 2025",barely-true
23,By Loreben Tuquero ,“DOGE halts yearly payment of $2.5 million to Barack Obama for ‘royalties linked to Obamacare.’”,Donald Trump," November 10, 2025",pants-fire
24,By Paul Specht ,“North Carolina teachers are already the lowest paid teachers in the south.”,Anderson Clayton," November 8, 2025",barely-true
25,By Maria Briceño ,“RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.”,X posts," November 7, 2025",false
26,By Louis Jacobson ,New York City Mayor-elect Zohran Mamdani “is bringing Sharia law to America.”,Nancy Mace," November 7, 2025",pants-fire
27,By Grace Abels ,Voting in California is “rigged.”,Donald Trump," November 5, 2025",pants-fire
28,By Maria Briceño ,"New York state has ""no ID requirement"" to vote, and people could lie about their address and ""vote in multiple precincts.""",X posts," November 4, 2025",barely-true
29,By Louis Jacobson ,“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,Elon Musk," November 4, 2025",false
30,By Amy Sherman ,"The federal government “decided to shut down the SNAP machines, so that they can’t be used.”",JB Pritzker," November 3, 2025",false
31,By Loreben Tuquero ,The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,X posts," November 3, 2025",false
32,By Nick Karmia ,“No American citizens have been arrested or detained” during the Trump administration’s immigration crackdowns.,Kristi Noem," October 31, 2025",pants-fire
33,By Samantha Putterman ,"In Florida, “68 to 70% of property tax revenue” is from “second homes, investment properties, commercial properties, Airbnb,” not primary residences.",Ron DeSantis," October 30, 2025",mostly-true
34,By Maria Ramirez Uribe ,"“To all ICE officers, you have federal immunity in the conduct of your duties.”",Stephen Miller," October 29, 2025",barely-true
35,By Loreben Tuquero ,Walmart will close to in-store shoppers and allow only online orders and curbside pickup starting Nov. 1 because of an expected Supplemental Nutrition Assistance Program funding lapse.,Social Media," October 29, 2025",pants-fire
36,By Louis Jacobson ,"""Overall, the inflation since President Trump” took office “has come down.""",Scott Bessent," October 29, 2025",half-true
37,By Maria Briceño ,"Video shows Hurricane Melissa hitting Jamaica on Oct. 26, 2025.",X posts," October 27, 2025",false
38,By Louis Jacobson ,"An ad from the government of Ontario, Canada, “misrepresents” President Ronald Reagan’s April 25, 1987, address about tariffs.",The Ronald Reagan Presidential Foundation and Institute," October 24, 2025",barely-true
39,By Louis Jacobson ,"“The Trump administration just declared that erecting a ballroom is the president’s main priority,” rather than issues such as the cost of living and health care.",Hakeem Jeffries," October 24, 2025",false
40,By Maria Ramirez Uribe ,"Con respecto a los ataques contra las embarcaciones en las costas de Venezuela, “por cada barco que destruimos, salvamos 25,000 vidas estadounidenses”.",Donald Trump," October 23, 2025",pants-fire
41,By Grace Abels ,A new White House ballroom “won't interfere with the current building.”,Donald Trump," October 22, 2025",full-flop
42,By Samantha Putterman ,"“About 25% of the time the Coast Guard boards a ship, there are no drugs.”",Rand Paul," October 22, 2025",mostly-true
43,By Maria Ramirez Uribe ,"“Fifty percent of the presidents, almost, have used (the Insurrection Act). And that's unquestioned power.”",Donald Trump," October 22, 2025",barely-true
44,By Amy Sherman ,"""Political violence, it's just a statistical fact that it's a bigger problem on the left.”",JD Vance," October 20, 2025",barely-true
45,By Maria Briceño ,Video shows “No Kings” protest in the United Kingdom.,X posts," October 20, 2025",pants-fire
46,By Louis Jacobson ,Democrats are “dishonestly sending around a video from 2017” claiming it was an Oct. 18 ‘No Kings’ rally in Boston.,Ted Cruz," October 20, 2025",false
47,By Samantha Putterman ,Florida will be the “hardest hit” state in the country if enhanced Affordable Care Act subsidies expire.,Darren Soto," October 20, 2025",mostly-true
48,By Louis Jacobson ,"“We’ve never had a president that solved one war, not one war.”",Donald Trump," October 17, 2025",pants-fire
49,By Maria Ramirez Uribe ,"Regarding boat strikes off the coast of Venezuela, “Every boat that we knock out we save 25,000 American lives.”",Donald Trump," October 16, 2025",pants-fire
50,By Maria Briceño ,Un video muestra un “arresto por robo que la policía de Chicago realizó hace más de un año”.,Tricia McLaughlin," October 16, 2025",false
51,By Louis Jacobson ,"As the Trump administration pursues mortgage fraud charges against Letitia James, “there are three Cabinet members who committed mortgage fraud that he’s just letting fly.”",Dan Koh," October 16, 2025",barely-true
52,By Amy Sherman ,"“Trump’s budget called for a $300 (million) cut” to the Women, Infants and Children program.",James Clyburn," October 16, 2025",true
53,By Natalie Ribar ,“Vaccine makers are exempt from all liability for vaccine injury and death.”,West Virginians For Health Freedom," October 15, 2025",barely-true
54,By Maria Briceño ,A video shows a “burglary arrest Chicago Police made over a year ago.”,Tricia McLaughlin," October 15, 2025",false
55,By Maria Ramirez Uribe ,"“If you vote no on Prop 50 to stop the redistricting, it shows through the envelope,” making it easy for Democrats to cheat.",X posts," October 14, 2025",barely-true
56,By Arielle Zionts ,“It's going to be the biggest infusion of federal dollars into rural health care in American history.”,Robert F. Kennedy Jr.," October 13, 2025",barely-true
57,By Maria Briceño ,"“El CEO de Coca-Cola, James Quincey, lanzó un ultimátum contundente: cancelen la actuación de Bad Bunny en el Super Bowl o la marca terminará su patrocinio del evento.”",Instagram posts," October 9, 2025",pants-fire
58,By Maria Ramirez Uribe ,"“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",Mike Johnson," October 9, 2025",false
59,By Louis Jacobson ,“The FBI tapped my phone” and those of other senators.,Josh Hawley," October 9, 2025",barely-true
60,By Maria Briceño ,“Coca-Cola CEO drops bombshell ultimatum to NFL — pull Bad Bunny from Super Bowl halftime or lose our $100 (million) sponsorship!”,X posts," October 9, 2025",pants-fire
61,By Samantha Putterman ,Democrats shut down the government because they want “health care for illegal aliens and funding for free abortions.”,Rick Scott," October 8, 2025",false
62,By Maria Briceño ,“Portland is burning to the ground.”,Donald Trump," October 7, 2025",false
63,By Maria Ramirez Uribe ,“Los demócratas están amenazando con cerrar todo el gobierno porque quieren dar cientos de miles de millones de dólares en beneficios de cuidado de salud a los inmigrantes ilegales”.,JD Vance," October 2, 2025",false
64,By Maria Briceño ,"Thirty percent of U.S. medical residents are international medical graduates, and 10,000 of 43,000 residency spots are filled by H-1B visa holders.",X posts," October 2, 2025",half-true
65,By Louis Jacobson ,“You never heard Biden say” the U.S. has “the strongest military anywhere in the world.”,Donald Trump," October 2, 2025",pants-fire
66,By Maria Ramirez Uribe ,“Democrats are threatening to shut down the entire government because they want to give hundreds of billions of dollars of health care benefits to illegal aliens.”,JD Vance," October 1, 2025",false
67,By Samantha Putterman ,"On Jan. 6, 2021, 274 FBI agents were “probably acting as agitators and insurrectionists, but certainly not as ‘law enforcement officials.’”",Donald Trump," September 30, 2025",pants-fire
68,By Louis Jacobson ,"People with insurance through the Affordable Care Act will see a “75% increase in premiums starting Nov. 1” if enhanced subsidies are not extended, including “twice as much in the rural areas.”",Amy Klobuchar," September 30, 2025",mostly-true
69,By Amy Sherman ,"“If the government shuts down, members of Congress still get paid. The janitors never get paid.”",Dan Koh," September 30, 2025",mostly-true
70,By Louis Jacobson ,"""Republicans have effectively ended medical research in the United States of America.""",Hakeem Jeffries," September 29, 2025",barely-true
71,By Jill Terreri Ramos ,"During Gov. Hochul’s tenure, there has been “more crime on our streets.”",Robert Ortt," September 27, 2025",mostly-true
72,By Grace Abels ,"Small children are given ""80 different vaccines.""",Donald Trump," September 26, 2025",false
73,By Madison Czopek ,“Erika Kirk is banned from Romania because her Evangelical group was accused of trafficking children out of Romanian villages.”,X posts," September 26, 2025",false
74,By Louis Jacobson ,The U.S. currently has “no inflation.”,Donald Trump," September 24, 2025",false
75,By Louis Jacobson ,“I have ended seven unendable wars.”,Donald Trump," September 23, 2025",barely-true
76,By Madison Czopek ,“There's no downside” to avoiding Tylenol or acetaminophen use while pregnant.,Donald Trump," September 23, 2025",pants-fire
77,By Madison Czopek ,"There was not “a single, prominent conservative voice in the country that even remotely wanted or hoped or was pushing to get Jimmy Kimmel taken off the air.”",Sean Hannity," September 18, 2025",false
78,By Loreben Tuquero ,Former President Barack Obama eliminated a law that “held news corporations accountable for lying to the American people.”,Social Media," September 17, 2025",false
79,By Louis Jacobson ,“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,Katherine Clark," September 17, 2025",mostly-true
80,By Paul Specht ,“North Carolina has just approved a law permitting foreign doctors to practice without completing U.S. training or licensing exams.”,X posts," September 16, 2025",barely-true
81,By Will Doran ,Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,Michael Whatley," September 12, 2025",false
82,By Samantha Putterman ,A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,X posts," September 12, 2025",false
83,By Louis Jacobson ,"“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",U.S. Energy Department," September 9, 2025",false
84,By Maria Briceño ,Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,TikTok posts," September 8, 2025",false
85,By Maria Ramirez Uribe ,Las cifras de la Oficina de Estadísticas Laborales de EE.UU. muestran que “tenemos 1.6 millones de inmigrantes ilegales que han regresado a su país de origen voluntariamente”.,Kristi Noem," September 5, 2025",half-true
86,By Louis Jacobson ,“Groceries are down. Energy is way down. ... Was $4 and $5 for a gallon of gas.”,Donald Trump," September 5, 2025",half-true
87,By Louis Jacobson ,“The average American worker has already seen a $500 wage increase this year.”,Donald Trump," September 5, 2025",half-true
88,By Grace Abels ,“Everybody can get” the COVID-19 vaccine.,Robert F. Kennedy Jr.," September 4, 2025",barely-true
89,By Samantha Putterman ,Every school vaccine mandate “drips” with “slavery.”,Joseph Ladapo," September 4, 2025",pants-fire
90,By Maria Ramirez Uribe ,"U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”",Kristi Noem," September 2, 2025",half-true
91,By Maria Briceño ,President Donald Trump’s “official schedule was suddenly suspended.”,X posts," September 2, 2025",false
92,By Samantha Putterman ,The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,James Uthmeier," September 2, 2025",false
93,By Maria Briceño ,A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”,X posts," August 29, 2025",pants-fire
94,By Amy Sherman ,"Following the passage of a 2022 gun safety law, mass shootings “began to drop.”",Chris Murphy," August 28, 2025",half-true
95,By Amy Sherman ,"In Washington, D.C., “We always have a murder a week.”",Donald Trump," August 27, 2025",false
96,By Louis Jacobson ,"""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation.""",JD Vance," August 26, 2025",false
97,By Maria Briceño ,An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.,X posts," August 25, 2025",false
98,By Louis Jacobson ,“We had the biggest tax cut for families that this country has ever seen.”,JD Vance," August 22, 2025",barely-true
99,By Maria Ramirez Uribe ,"TikTok videos show police clearing out homeless encampments in Washington, D.C.",TikTok posts," August 22, 2025",false
100,By Loreben Tuquero ,“Democrats have voted for national independent redistricting. Republicans have not.”,Gavin Newsom," August 21, 2025",mostly-true
101,By Grace Abels ,"The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”",Donald Trump," August 20, 2025",pants-fire
102,By Louis Jacobson ,"With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night.""",Donald Trump," August 19, 2025",false
103,By Amy Sherman ,“We are now the only country in the world that uses mail-in voting.”,Donald Trump," August 18, 2025",false
104,By Maria Briceño ,"La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”.",TikTok posts," August 15, 2025",pants-fire
105,By Hope Karnopp ,“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,Americans for Prosperity," August 15, 2025",mostly-true
106,By Maria Ramirez Uribe ,"Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”",Donald Trump," August 12, 2025",false
107,By Maria Ramirez Uribe ,“Promises kept: negative net migration (in the U.S.) for the first time in 50 years!”,Donald Trump," August 8, 2025",barely-true
108,By Samantha Putterman ,The official U.S. government website erased sections of the U.S. Constitution without amending it.,Threads posts," August 7, 2025",false
109,By Maria Briceño ,"Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah.",TikTok posts," August 7, 2025",false
110,By Paul Specht ,“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,John Blust," August 7, 2025",false
111,By Maria Briceño ,"Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah.",TikTok posts," August 7, 2025",false
112,By Amy Sherman ,Texas Republicans held one hearing on flood response but eight hearings on redistricting,Ken Martin," August 6, 2025",half-true
113,By Louis Jacobson ,"Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.",Donald Trump," August 5, 2025",pants-fire
114,By Samantha Putterman ,“I’ve stopped six wars” since taking office in January 2025.,Donald Trump," August 5, 2025",barely-true
115,By Gabrielle Lazor ,"President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion.",Social Media," August 5, 2025",false
116,By Maria Briceño ,"“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”",Threads posts," August 5, 2025",false
117,By Paul Specht ,“Guns are the leading cause of death for children in North Carolina.”,Josh Stein," August 5, 2025",mostly-true
118,By Madeline Heim ,“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,Francesca Hong," July 30, 2025",true
119,By Maria Briceño ,"Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings.",X posts," July 30, 2025",pants-fire
120,By Gabrielle Lazor ,“We gave $60 million two weeks ago” for food aid to Gaza.,Donald Trump," July 30, 2025",half-true
121,By Maria Briceño ,Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,X posts," July 29, 2025",false
122,By Madison Czopek ,“There is no starvation in Gaza.”,Benjamin Netanyahu," July 29, 2025",pants-fire
123,By Maria Briceño ,Democrats paid Beyoncé $11 million for an endorsement.,Donald Trump," July 28, 2025",false
124,By Amy Sherman ,The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,Markwayne Mullin," July 28, 2025",false
125,By Loreben Tuquero ,"Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”",Social Media," July 28, 2025",false
126,By Louis Jacobson ,"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",Ritchie Torres," July 25, 2025",mostly-true
127,By Gabrielle Lazor ,"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”",U.S. Trade Representative," July 24, 2025",mostly-true
128,By Ella Moore ,"Florida: #51 in mental health care, #1 in home insurance costs, #1 in elder fraud, #1 in rent hikes.",Gavin Newsom," July 23, 2025",half-true
129,By Louis Jacobson ,Tariffs are “going to pay off our deficit.”,Howard Lutnick," July 22, 2025",false
130,By Louis Jacobson ,"In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton.",Donald Trump," July 22, 2025",pants-fire
131,By Madison Czopek ,“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,TikTok posts," July 21, 2025",pants-fire
132,By Louis Jacobson ,"Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”",Lori Chavez-DeRemer," July 21, 2025",barely-true
133,By Louis Jacobson ,“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,Gavin Newsom," July 18, 2025",mostly-true
134,By Grace Abels ,The Jeffrey Epstein files “were made up by Comey. They were made up by Obama. They were made up by Biden.”,Donald Trump," July 18, 2025",pants-fire
135,By Maria Briceño ,"El sheriff del condado Kerr, Texas dijo, “que se debe solicitar la residencia permanente para el equipo de rescate mexicano que rescató a su familia”.",TikTok posts," July 16, 2025",false
136,By Maria Briceño ,"""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean.",TikTok posts," July 15, 2025",pants-fire
137,By Maria Briceño ,"The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”",X posts," July 14, 2025",false
138,By Gabrielle Lazor ,There is “zero impact” from Alligator Alcatraz on the Florida Everglades.,Ron DeSantis," July 11, 2025",false
139,By Louis Jacobson ,"A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”",Kevin Hassett," July 11, 2025",barely-true
140,By Amy Sherman ,"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",Jon Favreau," July 11, 2025",mostly-true
141,By Will Doran ,Former Gov. Roy Cooper is scheduled to speak at a Winston-Salem coffee shop July 18 at 11 a.m. about the “future of North Carolina.”,X posts," July 10, 2025",false
142,By Louis Jacobson ,"China doesn’t “have a lot of wind farms. … Very, very few.”",Donald Trump," July 10, 2025",pants-fire
143,By Loreben Tuquero ,Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,Scott Jennings," July 9, 2025",false
144,By Louis Jacobson ,The Trump administration “has defunded not only the National Weather Service but also what’s known as NOAA.”,Social Media," July 8, 2025",barely-true
145,By Louis Jacobson ,"President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”",Hakeem Jeffries," July 8, 2025",half-true
146,By Madison Czopek ,The Rainmaker Technology Corp.’s cloud seeding caused the July 4 flooding in Texas.,Social Media," July 7, 2025",false
147,By Maria Briceño ,“Si dios fuera ilegal lo deportariamos palabras del gobernador de Texas”.,TikTok posts," July 7, 2025",false
148,By Maria Briceño ,“Donald Trump acaba de firmar una nueva orden que pone al país en alerta máxima y sella las fronteras para todos los residentes” el 1 de julio.,TikTok posts," July 3, 2025",false
149,By Maria Briceño ,"Una nueva ley permite aplicar a “la residencia permanente de forma directa, rápida y sin salir del país” si los migrantes han vivido al menos siete años en EE.UU.",TikTok posts," July 2, 2025",false
150,By Maria Briceño ,President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,TikTok posts," July 2, 2025",false
151,By Maria Briceño ,"A new “community recognition” law allows people to apply for “permanent residency directly, quickly, and without leaving the country” if they have “resided continuously in the United States for at least seven years, regardless of their current immigration status.”",TikTok posts," July 1, 2025",false
152,By Loreben Tuquero ,Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.,X posts," July 1, 2025",false
153,By Louis Jacobson ,The One Big Beautiful Bill will deliver the promise of “no tax on Social Security.”,Donald Trump," June 30, 2025",barely-true
154,By Louis Jacobson ,"“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",Elizabeth Warren," June 27, 2025",half-true
155,By Ella Moore ,"""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",Occupy Democrats," June 27, 2025",mostly-true
156,By Arielle Zionts ,"“A lot of times, health care comes with a job.”",John Thune," June 27, 2025",half-true
157,By Louis Jacobson ,"If the “Big Beautiful Bill” passes, ""hardworking Americans and families will see an average increase in take-home pay of OVER $10,000 per year.""",Donald Trump," June 26, 2025",barely-true
158,By Gabrielle Lazor ,“The tow truck drivers in Los Angeles are quickly towing ICE vehicles improperly parked!”,Social Media," June 26, 2025",pants-fire
159,By Ella Moore ,New York City mayoral candidate Zohran Mamdani is a communist.,Donald Trump," June 26, 2025",false
160,By Loreben Tuquero ,“BREAKING NEWS: Dolly Parton announces her refusal to celebrate Pride Month in June.”,Facebook posts," June 25, 2025",pants-fire
161,By Hope Karnopp ,"“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”",Josh Schoemann," June 25, 2025",mostly-true
162,By Loreben Tuquero ,The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,American Action Network," June 24, 2025",half-true
163,By Gabrielle Lazor ,Video shows protesters “outraged” over U.S. attacks in Iran.,X posts," June 24, 2025",false
164,By Grace Abels ,Video shows a woman wearing a rainbow hijab and a bomb vest who filmed her visit to Iran.,Social Media," June 24, 2025",pants-fire
165,By Gabrielle Lazor ,"Photo shows Israeli pilot Sarah Ahronot, who was captured by Iran.",X posts," June 23, 2025",false
166,By Maria Briceño ,Video shows “massive fire after Iranian missile made impact in Tel Aviv” in June 2025.,X posts," June 23, 2025",false
167,By Jill Terreri Ramos ,"Four million more people live in Florida, but New York gets $20 billion more for Medicaid, because it covers illegal immigrants and adults without chronic illness.",Rick Scott," June 22, 2025",barely-true
168,By Madison Czopek ,“Governor Tim Walz has DELETED every post he made praising Minnesota (assassin) Vance Boelter.”,Social Media," June 18, 2025",false
169,By Loreben Tuquero ,Image shows accused shooter Vance Boelter wearing a “Resist” shirt.,X posts," June 18, 2025",pants-fire
170,By Gabrielle Lazor ,"Image shows an antifa debit card that can “automatically be funded after looting, rioting and gang stalking.”",X posts," June 17, 2025",false
171,By Gabrielle Lazor ,Video shows the New York Mets “showed a Pride flag instead of the American flag” during the national anthem.,X posts," June 17, 2025",false
172,By Madison Czopek ,The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.,Mike Lee," June 16, 2025",pants-fire
173,By Louis Jacobson ,"California has lower homicide rates than Alabama, Arkansas and Oklahoma.",Gavin Newsom," June 16, 2025",mostly-true
174,By Gabrielle Lazor ,Video shows Marine Corps attack helicopter over Los Angeles in response to immigration raid protests.,X posts," June 16, 2025",false
175,By Ella Moore ,Photos show Travis Kelce and Taylor Swift participated in a “No Kings” rally.,Facebook posts," June 16, 2025",pants-fire
176,By Ella Moore ,"Says Karoline Leavitt said, “America cannot function if President Trump has to deal with co-equal branches of government having the ability to check his power.”",X posts," June 13, 2025",false
177,By Gabrielle Lazor ,"Companies called “T-Mellon Events” and “Fight Fite Fight LLC” are offering to pay “seat fillers” in Washington, D.C, on June 14.",Social Media," June 13, 2025",false
178,By Ella Moore ,Immigration and Customs Enforcement agents raided Los Angeles' Gratts Learning Academy during a June graduation ceremony.,Instagram posts," June 13, 2025",false
179,By Ella Moore ,"Video shows woman exiting her car during the 2025 Los Angeles protests, shouting, “I have babies in the car!”",X posts," June 12, 2025",false
180,By Maria Briceño ,Craigslist ad was “recruiting people for LA ‘protests.’”,TikTok posts," June 12, 2025",false
181,By Ella Moore ,Video shows Los Angeles protesters chanting “We are Los Angeles” in June 2025.,TikTok posts," June 11, 2025",false
182,By Louis Jacobson ,"If the “Big, Beautiful” tax and spending bill doesn’t pass, “there will be a 68% tax increase.”",Donald Trump," June 10, 2025",false
183,By Loreben Tuquero ,California Gov. Gavin Newsom shared images taken in 2021 and said they showed National Guard troops sleeping on the floor in June 2025.,Social Media," June 10, 2025",pants-fire
184,By Loreben Tuquero ,Video shows “Marines have arrived in Los Angeles” June 8 to respond to immigration protests.,X posts," June 9, 2025",false
185,By Maria Briceño ,“BREAKING: Rep. Maxine Waters calls for the United States to grant citizenship to every undocumented protester in Los Angeles” 2025 protests.,Facebook posts," June 9, 2025",false
186,By Loreben Tuquero ,Video shows a police car burning during June 2025 Los Angeles protests.,X posts," June 9, 2025",false
187,By Gabrielle Lazor ,Target “opts out of Pride month and replaced its Pride collection with an America First Summer display.”,X posts," June 6, 2025",false
188,By Louis Jacobson ,“President Trump has granted pardons that have wiped out over $1 billion in debts owed by wealthy Americans who have committed fraud and broken the law.”,Liz Oyer," June 6, 2025",mostly-true
189,By Louis Jacobson ,“One out of every $5 or $6 in Medicaid (payments) is improper.”,Russell Vought," June 4, 2025",barely-true
190,By Jill Terreri Ramos ,The state budget contains the largest middle class tax cut in 70 years.,Kathy Hochul," June 1, 2025",false
191,By Maria Briceño ,Image shows Ben & Jerry’s is selling “Free Palestine” and “From the River to Sea” ice cream flavors.,Viral image," May 30, 2025",false
192,By Paul Specht ,“Contractors are being rejected” from providing Hurricane Helene relief in North Carolina because of racial “quotas” required by the state.,Brenden Jones," May 30, 2025",false
193,By Loreben Tuquero ,“We are not cutting” the Supplemental Nutrition Assistance Program.,Mike Johnson," May 29, 2025",false
194,By Maria Ramirez Uribe ,Harvard University “refuse(s) to tell us” who its international students are.,Donald Trump," May 28, 2025",false
195,By Maria Briceño ,El gobernador de Florida Ron DeSantis firmó ley que prohíbe a inmigrantes ilegalmente en el país echar gasolina.,TikTok posts," May 28, 2025",false
