,Unnamed: 0,author,title,source,date,target
30,30,By Amy Sherman ,the federal government decided shut down the snap machine that they can used,JB Pritzker," November 3, 2025",false
31,31,By Loreben Tuquero ,the majority supplemental nutrition assistance program recipient are not citizen,X posts," November 3, 2025",false
32,32,By Nick Karmia ,american citizen have been arrested detained during the trump administration immigration crackdown,Kristi Noem," October 31, 2025",pants-fire
33,33,By Samantha Putterman ,florida property tax revenue from second home investment property commercial property airbnb not primary residence,Ron DeSantis," October 30, 2025",mostly-true
34,34,By Maria Ramirez Uribe ,all ice officer you have federal immunity the conduct your duty,Stephen Miller," October 29, 2025",barely-true
35,35,By Loreben Tuquero ,walmart will close store shopper and allow only online order and curbside pickup starting nov because expected supplemental nutrition assistance program funding lapse,Social Media," October 29, 2025",pants-fire
36,36,By Louis Jacobson ,overall the inflation since president trump took office ha come down,Scott Bessent," October 29, 2025",half-true
37,37,By Maria Briceño ,video show hurricane melissa hitting jamaica oct,X posts," October 27, 2025",false
38,38,By Louis Jacobson ,from the government ontario canada misrepresents president ronald reagan april address about tariff,The Ronald Reagan Presidential Foundation and Institute," October 24, 2025",barely-true
39,39,By Louis Jacobson ,the trump administration just declared that erecting ballroom the president main priority rather than issue such the cost living and health care,Hakeem Jeffries," October 24, 2025",false
40,40,By Maria Ramirez Uribe ,con respecto los ataques contra la embarcaciones la costa venezuela por cada barco que destruimos salvamos vidas estadounidenses,Donald Trump," October 23, 2025",pants-fire
41,41,By Grace Abels ,new white house ballroom won interfere with the current building,Donald Trump," October 22, 2025",full-flop
42,42,By Samantha Putterman ,about the time the coast guard board ship there are drug,Rand Paul," October 22, 2025",mostly-true
43,43,By Maria Ramirez Uribe ,fifty percent the president almost have used the insurrection act and that unquestioned power,Donald Trump," October 22, 2025",barely-true
44,44,By Amy Sherman ,political violence just statistical fact that bigger problem the left,JD Vance," October 20, 2025",barely-true
45,45,By Maria Briceño ,video show king protest the united kingdom,X posts," October 20, 2025",pants-fire
46,46,By Louis Jacobson ,democrat are dishonestly sending around video from claiming wa oct king rally boston,Ted Cruz," October 20, 2025",false
47,47,By Samantha Putterman ,florida will the hardest hit state the country enhanced affordable care act subsidy expire,Darren Soto," October 20, 2025",mostly-true
48,48,By Louis Jacobson ,never had president that solved one war not one war,Donald Trump," October 17, 2025",pants-fire
49,49,By Maria Ramirez Uribe ,regarding boat strike off the coast venezuela every boat that knock out save american life,Donald Trump," October 16, 2025",pants-fire
50,50,By Maria Briceño ,video muestra arresto por robo que polic chicago realiz hace,Tricia McLaughlin," October 16, 2025",false
51,51,By Louis Jacobson ,the trump administration pursues mortgage fraud charge against letitia james there are three cabinet member who committed mortgage fraud that just letting fly,Dan Koh," October 16, 2025",barely-true
52,52,By Amy Sherman ,trump budget called for million cut the woman infant and child program,James Clyburn," October 16, 2025",true
53,53,By Natalie Ribar ,vaccine maker are exempt from all liability for vaccine injury and death,West Virginians For Health Freedom," October 15, 2025",barely-true
54,54,By Maria Briceño ,video show burglary arrest chicago police made over year ago,Tricia McLaughlin," October 15, 2025",false
55,55,By Maria Ramirez Uribe ,you vote prop stop the redistricting show through the envelope making easy for democrat cheat,X posts," October 14, 2025",barely-true
56,56,By Arielle Zionts ,going the biggest infusion federal dollar into rural health care american history,Robert F. Kennedy Jr.," October 13, 2025",barely-true
57,57,By Maria Briceño ,ceo coca cola james quincey lanz ultim tum contundente cancelen actuaci bad bunny super bowl marca terminar patrocinio del evento,Instagram posts," October 9, 2025",pants-fire
58,58,By Maria Ramirez Uribe ,condition for ending the democrat shutdown democrat want hospital paid more treat illegal alien than american citizen,Mike Johnson," October 9, 2025",false
59,59,By Louis Jacobson ,the fbi tapped phone and those other senator,Josh Hawley," October 9, 2025",barely-true
60,60,By Maria Briceño ,coca cola ceo drop bombshell ultimatum nfl pull bad bunny from super bowl halftime lose our million sponsorship,X posts," October 9, 2025",pants-fire
61,61,By Samantha Putterman ,democrat shut down the government because they want health care for illegal alien and funding for free abortion,Rick Scott," October 8, 2025",false
62,62,By Maria Briceño ,portland burning the ground,Donald Trump," October 7, 2025",false
63,63,By Maria Ramirez Uribe ,los dem cratas est amenazando con cerrar todo gobierno porque quieren dar cientos mile millones lares beneficios cuidado salud los inmigrantes ilegales,JD Vance," October 2, 2025",false
64,64,By Maria Briceño ,thirty percent medical resident are international medical graduate and residency spot are filled visa holder,X posts," October 2, 2025",half-true
65,65,By Louis Jacobson ,you never heard biden say the ha the strongest military anywhere the world,Donald Trump," October 2, 2025",pants-fire
66,66,By Maria Ramirez Uribe ,democrat are threatening shut down the entire government because they want give hundred billion dollar health care benefit illegal alien,JD Vance," October 1, 2025",false
67,67,By Samantha Putterman ,jan fbi agent were probably acting agitator and insurrectionist but certainly not law enforcement official,Donald Trump," September 30, 2025",pants-fire
68,68,By Louis Jacobson ,people with insurance through the affordable care act will see increase premium starting nov enhanced subsidy are not extended including twice much the rural area,Amy Klobuchar," September 30, 2025",mostly-true
69,69,By Amy Sherman ,the government shuts down member congress still get paid the janitor never get paid,Dan Koh," September 30, 2025",mostly-true
70,70,By Louis Jacobson ,republican have effectively ended medical research the united state america,Hakeem Jeffries," September 29, 2025",barely-true
71,71,By Jill Terreri Ramos ,during gov hochul tenure there ha been more crime our street,Robert Ortt," September 27, 2025",mostly-true
72,72,By Grace Abels ,small child are given different vaccine,Donald Trump," September 26, 2025",false
73,73,By Madison Czopek ,erika kirk banned from romania because her evangelical group wa accused trafficking child out romanian village,X posts," September 26, 2025",false
74,74,By Louis Jacobson ,the currently ha inflation,Donald Trump," September 24, 2025",false
75,75,By Louis Jacobson ,have ended seven unendable war,Donald Trump," September 23, 2025",barely-true
76,76,By Madison Czopek ,there downside avoiding tylenol acetaminophen use while pregnant,Donald Trump," September 23, 2025",pants-fire
77,77,By Madison Czopek ,there wa not single prominent conservative voice the country that even remotely wanted hoped wa pushing get jimmy kimmel taken off the air,Sean Hannity," September 18, 2025",false
78,78,By Loreben Tuquero ,former president barack obama eliminated law that held news corporation accountable for lying the american people,Social Media," September 17, 2025",false
79,79,By Louis Jacobson ,republican are spiking health insurance premium for everyday american they don extend enhanced affordable care act subsidy,Katherine Clark," September 17, 2025",mostly-true
80,80,By Paul Specht ,north carolina ha just approved law permitting foreign doctor practice without completing training licensing exam,X posts," September 16, 2025",barely-true
81,81,By Will Doran ,former north carolina gov roy cooper bear direct responsibility for the fatal stabbing woman the charlotte rail system,Michael Whatley," September 12, 2025",false
82,82,By Samantha Putterman ,book amazon titled the shooting charlie kirk with sept publication date evidence the event wa staged,X posts," September 12, 2025",false
83,83,By Louis Jacobson ,wind and solar energy infrastructure essentially worthless when dark outside and when the wind not blowing,U.S. Energy Department," September 9, 2025",false
84,84,By Maria Briceño ,video show chicago salt truck were used slow traffic and block access point response incoming ice operation,TikTok posts," September 8, 2025",false
85,85,By Maria Ramirez Uribe ,la cifras oficina estad sticas laborales muestran que tenemos millones inmigrantes ilegales que han regresado origen voluntariamente,Kristi Noem," September 5, 2025",half-true
86,86,By Louis Jacobson ,grocery are down energy way down wa and for gallon gas,Donald Trump," September 5, 2025",half-true
87,87,By Louis Jacobson ,the average american worker ha already seen wage increase this year,Donald Trump," September 5, 2025",half-true
88,88,By Grace Abels ,everybody can get the covid vaccine,Robert F. Kennedy Jr.," September 4, 2025",barely-true
89,89,By Samantha Putterman ,every school vaccine mandate drip with slavery,Joseph Ladapo," September 4, 2025",pants-fire
90,90,By Maria Ramirez Uribe ,bureau labor statistic statistic show have million illegal alien that have gone home voluntarily,Kristi Noem," September 2, 2025",half-true
91,91,By Maria Briceño ,president donald trump official schedule wa suddenly suspended,X posts," September 2, 2025",false
92,92,By Samantha Putterman ,the census included citizenship question for over year before the obama administration,James Uthmeier," September 2, 2025",false
93,93,By Maria Briceño ,vanity fair cover featured first lady melania trump the american queen,X posts," August 29, 2025",pants-fire
94,94,By Amy Sherman ,following the passage gun safety law mass shooting began drop,Chris Murphy," August 28, 2025",half-true
95,95,By Amy Sherman ,washington always have murder week,Donald Trump," August 27, 2025",false
96,96,By Louis Jacobson ,you back world war you back world war you back every major conflict human history they all end with some kind negotiation,JD Vance," August 26, 2025",false
97,97,By Maria Briceño ,aug video show the military already showing chicago before potential national guard deployment,X posts," August 25, 2025",false
98,98,By Louis Jacobson ,had the biggest tax cut for family that this country ha ever seen,JD Vance," August 22, 2025",barely-true
99,99,By Maria Ramirez Uribe ,tiktok video show police clearing out homeless encampment washington,TikTok posts," August 22, 2025",false
100,100,By Loreben Tuquero ,democrat have voted for national independent redistricting republican have not,Gavin Newsom," August 21, 2025",mostly-true
101,101,By Grace Abels ,the smithsonian institution includes nothing about success nothing about brightness nothing about the future,Donald Trump," August 20, 2025",pants-fire
102,102,By Louis Jacobson ,with voting machine they say going have the result two week with paper ballot you have the result that night,Donald Trump," August 19, 2025",false
103,103,By Amy Sherman ,are now the only country the world that us mail voting,Donald Trump," August 18, 2025",false
104,104,By Maria Briceño ,presidenta xico claudia sheinbaum dijo que muerte del pol tico colombiano miguel uribe turbay bueno para colombia pol tico menos que preocuparse,TikTok posts," August 15, 2025",pants-fire
105,105,By Hope Karnopp ,the evers era locked wisconsin family into year property tax increase,Americans for Prosperity," August 15, 2025",mostly-true
106,106,By Maria Ramirez Uribe ,washington ha homicide per people that can find anywhere the world,Donald Trump," August 12, 2025",false
107,107,By Maria Ramirez Uribe ,promise kept negative net migration the for the first time year,Donald Trump," August 8, 2025",barely-true
108,108,By Samantha Putterman ,the official government website erased section the constitution without amending,Threads posts," August 7, 2025",false
109,109,By Maria Briceño ,osos pardos bisontes puma est huyendo del parque nacional yellowstone hacia salt lake city utah,TikTok posts," August 7, 2025",false
110,110,By Paul Specht ,democrat have more seat congress than they would have illegal alien were not counted the census,John Blust," August 7, 2025",false
111,111,By Maria Briceño ,elk grizzly bear bison and mountain lion are fleeing yellowstone national park salt lake city utah,TikTok posts," August 7, 2025",false
112,112,By Amy Sherman ,texas republican held one hearing flood response but eight hearing redistricting,Ken Martin," August 6, 2025",half-true
113,113,By Louis Jacobson ,bureau labor statistic employment number were rigged when the agency revised them down almost job after the election,Donald Trump," August 5, 2025",pants-fire
114,114,By Samantha Putterman ,stopped six war since taking office january,Donald Trump," August 5, 2025",barely-true
115,115,By Gabrielle Lazor ,president donald trump made wire transfer jeffrey epstein totaling nearly billion,Social Media," August 5, 2025",false
116,116,By Maria Briceño ,home depot signed deal that pay them million with dhs allowing ice agent stake out their parking lot and arrest immigrant,Threads posts," August 5, 2025",false
117,117,By Paul Specht ,gun are the leading cause death for child north carolina,Josh Stein," August 5, 2025",mostly-true
118,118,By Madeline Heim ,nearly cent every spent via snap go farmer and rancher,Francesca Hong," July 30, 2025",true
119,119,By Maria Briceño ,oprah winfrey refused open her private maui road during july tsunami warning,X posts," July 30, 2025",pants-fire
120,120,By Gabrielle Lazor ,gave million two week ago for food aid gaza,Donald Trump," July 30, 2025",half-true
121,121,By Maria Briceño ,suspect july new york city shooting wa shouting free palestine and wearing keffiyeh,X posts," July 29, 2025",false
122,122,By Madison Czopek ,there starvation gaza,Benjamin Netanyahu," July 29, 2025",pants-fire
123,123,By Maria Briceño ,democrat paid beyonc million for endorsement,Donald Trump," July 28, 2025",false
124,124,By Amy Sherman ,the jeffrey epstein plea agreement wa sweetheart plea deal that wa made under the obama administration,Markwayne Mullin," July 28, 2025",false
125,125,By Loreben Tuquero ,image show egyptian youth who put some food baby formula rice and flour bottle and threw them into the sea hoping would reach gaza,Social Media," July 28, 2025",false
126,126,By Louis Jacobson ,since donald trump inauguration have seen decline the value the dollar the steepest decline more than half century,Ritchie Torres," July 25, 2025",mostly-true
127,127,By Gabrielle Lazor ,america had trade surplus ice cream under president trump leadership but that surplus turned into trade deficit million under president biden watch,U.S. Trade Representative," July 24, 2025",mostly-true
128,128,By Ella Moore ,florida mental health care home insurance cost elder fraud rent hike,Gavin Newsom," July 23, 2025",half-true
129,129,By Louis Jacobson ,tariff are going pay off our deficit,Howard Lutnick," July 22, 2025",false
130,130,By Louis Jacobson ,after donald trump won the presidency then president barack obama wa trying lead coup with trump opponent hillary clinton,Donald Trump," July 22, 2025",pants-fire
131,131,By Madison Czopek ,the white house just announced that trump only ha four day left because his chronic venous insufficiency,TikTok posts," July 21, 2025",pants-fire
132,132,By Louis Jacobson ,under president donald trump newly signed tax law those making less than receive the largest tax cut,Lori Chavez-DeRemer," July 21, 2025",barely-true
133,133,By Louis Jacobson ,california provides billion more than receive from the federal government texas receives billion more than they provide the federal government the gdp come from blue county,Gavin Newsom," July 18, 2025",mostly-true
134,134,By Grace Abels ,the jeffrey epstein file were made comey they were made obama they were made biden,Donald Trump," July 18, 2025",pants-fire
135,135,By Maria Briceño ,sheriff del condado kerr texas dijo que debe solicitar residencia permanente para equipo rescate mexicano que rescat familia,TikTok posts," July 16, 2025",false
136,136,By Maria Briceño ,people tracking the ice deportation flight have found the agency throwing migrant into the middle the ocean,TikTok posts," July 15, 2025",pants-fire
137,137,By Maria Briceño ,the kerr county texas sheriff said would apply for green card for the mexican rescue team that saved his family,X posts," July 14, 2025",false
138,138,By Gabrielle Lazor ,there zero impact from alligator alcatraz the florida everglades,Ron DeSantis," July 11, 2025",false
139,139,By Louis Jacobson ,congressional budget office estimate people who stand lose insurance from president donald trump tax and spending law said about million have other insurance they lose one type coverage they still insured,Kevin Hassett," July 11, 2025",barely-true
140,140,By Amy Sherman ,ice will now become the country largest federal law enforcement agency bigger than the fbi bigger than the dea,Jon Favreau," July 11, 2025",mostly-true
141,141,By Will Doran ,former gov roy cooper scheduled speak winston salem coffee shop july about the future north carolina,X posts," July 10, 2025",false
142,142,By Louis Jacobson ,china doesn have lot wind farm very very few,Donald Trump," July 10, 2025",pants-fire
143,143,By Loreben Tuquero ,almost million able bodied medicaid recipient simply choose not work and spend six hour day socializing and watching television,Scott Jennings," July 9, 2025",false
144,144,By Louis Jacobson ,the trump administration ha defunded not only the national weather service but also what known noaa,Social Media," July 8, 2025",barely-true
145,145,By Louis Jacobson ,president donald trump tax law ha tax break for billionaire permanent tax break for everybody else expire,Hakeem Jeffries," July 8, 2025",half-true
146,146,By Madison Czopek ,the rainmaker technology corp cloud seeding caused the july flooding texas,Social Media," July 7, 2025",false
147,147,By Maria Briceño ,dios fuera ilegal deportariamos palabras del gobernador texas,TikTok posts," July 7, 2025",false
148,148,By Maria Briceño ,donald trump acaba firmar una nueva orden que pone alerta xima sella la fronteras para todos los residentes julio,TikTok posts," July 3, 2025",false
149,149,By Maria Briceño ,una nueva ley permite aplicar residencia permanente forma directa pida sin salir del los migrantes han vivido menos siete,TikTok posts," July 2, 2025",false
150,150,By Maria Briceño ,president donald trump signed executive order for total border shutdown with set reopening date july,TikTok posts," July 2, 2025",false
151,151,By Maria Briceño ,new community recognition law allows people apply for permanent residency directly quickly and without leaving the country they have resided continuously the united state for least seven year regardless their current immigration status,TikTok posts," July 1, 2025",false
152,152,By Loreben Tuquero ,idaho shooting suspect wess roley faced criminal charge and had contact order from his family,X posts," July 1, 2025",false
153,153,By Louis Jacobson ,the one big beautiful bill will deliver the promise tax social security,Donald Trump," June 30, 2025",barely-true
154,154,By Louis Jacobson ,every one the million people america paid new copay visit the doctor that still wouldn enough cover how much meta would get from just one tax break donald trump big beautiful bill,Elizabeth Warren," June 27, 2025",half-true
155,155,By Ella Moore ,undocumented immigrant paid more tax last year than amazon ibm netflix combined,Occupy Democrats," June 27, 2025",mostly-true
156,156,By Arielle Zionts ,lot time health care come with job,John Thune," June 27, 2025",half-true
157,157,By Louis Jacobson ,the big beautiful bill pass hardworking american and family will see average increase take home pay over per year,Donald Trump," June 26, 2025",barely-true
158,158,By Gabrielle Lazor ,the tow truck driver los angeles are quickly towing ice vehicle improperly parked,Social Media," June 26, 2025",pants-fire
159,159,By Ella Moore ,new york city mayoral candidate zohran mamdani communist,Donald Trump," June 26, 2025",false
160,160,By Loreben Tuquero ,breaking news dolly parton announces her refusal celebrate pride month june,Facebook posts," June 25, 2025",pants-fire
161,161,By Hope Karnopp ,the state illinois ha lower income tax rate than and flat tax almost half what the top bracket here wisconsin,Josh Schoemann," June 25, 2025",mostly-true
162,162,By Loreben Tuquero ,the republican tax and spending bill will provide tax cut for social security recipient,American Action Network," June 24, 2025",half-true
163,163,By Gabrielle Lazor ,video show protester outraged over attack iran,X posts," June 24, 2025",false
164,164,By Grace Abels ,video show woman wearing rainbow hijab and bomb vest who filmed her visit iran,Social Media," June 24, 2025",pants-fire
165,165,By Gabrielle Lazor ,photo show israeli pilot sarah ahronot who wa captured iran,X posts," June 23, 2025",false
166,166,By Maria Briceño ,video show massive fire after iranian missile made impact tel aviv june,X posts," June 23, 2025",false
167,167,By Jill Terreri Ramos ,four million more people live florida but new york get billion more for medicaid because cover illegal immigrant and adult without chronic illness,Rick Scott," June 22, 2025",barely-true
168,168,By Madison Czopek ,governor tim walz ha deleted every post made praising minnesota assassin vance boelter,Social Media," June 18, 2025",false
169,169,By Loreben Tuquero ,image show accused shooter vance boelter wearing resist shirt,X posts," June 18, 2025",pants-fire
170,170,By Gabrielle Lazor ,image show antifa debit card that can automatically funded after looting rioting and gang stalking,X posts," June 17, 2025",false
171,171,By Gabrielle Lazor ,video show the new york mets showed pride flag instead the american flag during the national anthem,X posts," June 17, 2025",false
172,172,By Madison Czopek ,the suspect the minnesota lawmaker shooting wa driven marxist ideology,Mike Lee," June 16, 2025",pants-fire
173,173,By Louis Jacobson ,california ha lower homicide rate than alabama arkansas and oklahoma,Gavin Newsom," June 16, 2025",mostly-true
174,174,By Gabrielle Lazor ,video show marine corp attack helicopter over los angeles response immigration raid protest,X posts," June 16, 2025",false
175,175,By Ella Moore ,photo show travis kelce and taylor swift participated king rally,Facebook posts," June 16, 2025",pants-fire
176,176,By Ella Moore ,say karoline leavitt said america cannot function president trump ha deal with equal branch government having the ability check his power,X posts," June 13, 2025",false
177,177,By Gabrielle Lazor ,company called mellon event and fight fite fight llc are offering pay seat filler washington june,Social Media," June 13, 2025",false
178,178,By Ella Moore ,immigration and custom enforcement agent raided los angeles gratts learning academy during june graduation ceremony,Instagram posts," June 13, 2025",false
179,179,By Ella Moore ,video show woman exiting her car during the los angeles protest shouting have baby the car,X posts," June 12, 2025",false
180,180,By Maria Briceño ,craigslist wa recruiting people for protest,TikTok posts," June 12, 2025",false
181,181,By Ella Moore ,video show los angeles protester chanting are los angeles june,TikTok posts," June 11, 2025",false
182,182,By Louis Jacobson ,the big beautiful tax and spending bill doesn pas there will tax increase,Donald Trump," June 10, 2025",false
183,183,By Loreben Tuquero ,california gov gavin newsom shared image taken and said they showed national guard troop sleeping the floor june,Social Media," June 10, 2025",pants-fire
184,184,By Loreben Tuquero ,video show marine have arrived los angeles june respond immigration protest,X posts," June 9, 2025",false
185,185,By Maria Briceño ,breaking rep maxine water call for the united state grant citizenship every undocumented protester los angeles protest,Facebook posts," June 9, 2025",false
186,186,By Loreben Tuquero ,video show police car burning during june los angeles protest,X posts," June 9, 2025",false
187,187,By Gabrielle Lazor ,target opts out pride month and replaced it pride collection with america first summer display,X posts," June 6, 2025",false
188,188,By Louis Jacobson ,president trump ha granted pardon that have wiped out over billion debt owed wealthy american who have committed fraud and broken the law,Liz Oyer," June 6, 2025",mostly-true
189,189,By Louis Jacobson ,one out every medicaid payment improper,Russell Vought," June 4, 2025",barely-true
190,190,By Jill Terreri Ramos ,the state budget contains the largest middle class tax cut year,Kathy Hochul," June 1, 2025",false
191,191,By Maria Briceño ,image show ben jerry selling free palestine and from the river sea ice cream flavor,Viral image," May 30, 2025",false
192,192,By Paul Specht ,contractor are being rejected from providing hurricane helene relief north carolina because racial quota required the state,Brenden Jones," May 30, 2025",false
193,193,By Loreben Tuquero ,are not cutting the supplemental nutrition assistance program,Mike Johnson," May 29, 2025",false
194,194,By Maria Ramirez Uribe ,harvard university refuse tell who it international student are,Donald Trump," May 28, 2025",false
195,195,By Maria Briceño ,gobernador florida ron desantis firm ley que proh inmigrantes ilegalmente echar gasolina,TikTok posts," May 28, 2025",false
196,196,By Amy Sherman ,the republican tax and spending bill will let president donald trump delay cancel election legally,Social Media," May 28, 2025",false
197,197,By Louis Jacobson ,retail gasoline price heading into memorial day weekend year low,U.S. Energy Department," May 28, 2025",half-true
198,198,By Loreben Tuquero ,rep lamonica mciver started singing during may cnn interview,X posts," May 23, 2025",false
199,199,By Maria Briceño ,the slaying two israeli embassy employee washington false flag,X posts," May 23, 2025",pants-fire
200,200,By Louis Jacobson ,the house bill not changing medicaid only cutting waste fraud and abuse,Donald Trump," May 22, 2025",false
201,201,By Loreben Tuquero ,the sean diddy comb trial testimony revealed that former president barack obama wa caught secret meeting with diddy drug runner,X posts," May 22, 2025",false
202,202,By Grace Abels ,video show the qatari emir saying truly regret inviting trump the robber the middle east,Social Media," May 21, 2025",pants-fire
203,203,By Amy Sherman ,que california ofrezca acceso asequible cuidado salud para los inmigrantes ilegalmente,Gavin Newsom," May 21, 2025",half-flip
204,204,By Maria Briceño ,presidenta xico claudia sheinbaum dijo que choque del buque cuauht moc contra puente brooklyn nueva york fue accidente puede ser acto hostil,TikTok posts," May 21, 2025",false
205,205,By Louis Jacobson ,president donald trump tax and spending bill doe not add the deficit,Karoline Leavitt," May 21, 2025",false
206,206,By Loreben Tuquero ,while serving congress transportation secretary sean duffy voted against upgrading air traffic control system,Robert Reich," May 21, 2025",barely-true
207,207,By Grace Abels ,former president joe biden cancer form turbo cancer caused mrna vaccine,X posts," May 20, 2025",false
208,208,By Louis Jacobson ,gasoline price have collapsed under president trump,Scott Bessent," May 20, 2025",barely-true
209,209,By Madison Czopek ,all true that the measles vaccine wane quickly wa never fully safety tested and contains fetal debris,Robert F. Kennedy Jr.," May 16, 2025",false
210,210,By Louis Jacobson ,republican just unveiled their big beautiful bill which will take medicaid health insurance away from million american,Bernie Sanders," May 16, 2025",half-true
211,211,By Amy Sherman ,california offering affordable health care access for immigrant the illegally,Gavin Newsom," May 16, 2025",half-flip
212,212,By Louis Jacobson ,declining cargo traffic port mean lose less money when you say slowed down that good thing,Donald Trump," May 16, 2025",false
213,213,By Maria Briceño ,deo muestra presidente franc emmanuel macron primer ministro del reino unido keir starmer canciller alem friedrich merz con una bolsa coca tras visitar presidente ucraniano volodymyr zelenskyy,Alex Jones," May 16, 2025",pants-fire
214,214,By Paul Specht ,google caved trump they erased black history month from the calendar,Marcia Morey," May 15, 2025",barely-true
215,215,By Maria Ramirez Uribe ,the immigration and nationality act stripped article iii court that the judicial branch jurisdiction over immigration case,Stephen Miller," May 15, 2025",false
216,216,By Louis Jacobson ,under new executive order prescription drug price will reduced almost immediately,Donald Trump," May 14, 2025",barely-true
217,217,By Amy Sherman ,the digital equity act handout based race and illegal,Donald Trump," May 13, 2025",false
218,218,By Maria Briceño ,video show french president emmanuel macron united kingdom prime minister keir starmer and german chancellor freidrich merz with bag cocaine after visiting ukrainian president volodymyr zelenskyy,Alex Jones," May 13, 2025",pants-fire
219,219,By Maria Ramirez Uribe ,congress specifically authorized the executive branch conduct non judicial deportation not subject due process,Social Media," May 12, 2025",false
220,220,By Louis Jacobson ,about household with veteran rely upon the supplemental nutrition assistance program,Hakeem Jeffries," May 12, 2025",barely-true
221,221,By Maria Ramirez Uribe ,los primeros del presidente donald trump la incautaciones fentanilo salvaron entre millones millones vidas,Pam Bondi," May 9, 2025",pants-fire
222,222,By Loreben Tuquero ,china make all toy and all christmas good sold the,Charles Blow," May 9, 2025",true
223,223,By Madison Czopek ,headline said pope leo xiv wa founding member the anarchist portland autonomous zone known chaz,X posts," May 9, 2025",false
224,224,By Grace Abels ,robert prevost the roman catholic cardinal who wa chosen the new pope registered republican,X posts," May 9, 2025",barely-true
225,225,By Madison Czopek ,have now close trillion investment talking about essentially two month,Donald Trump," May 8, 2025",false
226,226,By Maria Ramirez Uribe ,people come into our country illegally there different standard for due process,Donald Trump," May 8, 2025",false
227,227,By Amy Sherman ,canadian tourism florida ha declined,Jared Moskowitz," May 7, 2025",barely-true
228,228,By Louis Jacobson ,republican just voted the house judiciary committee allow trump deport citizen foreign country,Eric Swalwell," May 6, 2025",barely-true
229,229,By Madison Czopek ,video show canadian prime minister mark carney saying effective june all vehicle manufactured before will gradually phased off canadian road due safety and emission standard,TikTok posts," May 6, 2025",false
